PARLIAMENTARY_CONSTITUENCY,ASSEMBLY_CONSTITUENCY ,TOTAL_POPULATION,SC_POPULATION,ST_POPULATION,DISTRICT,DEVIATION
1-Chikodi,1. Nippani,249235,38159,2502,BELGAUM,
1-Chikodi,2. Chikkodi-Sadalga ,239081,38971,2490,BELGAUM,
1-Chikodi,3. Athani,243302,34962,5430,BELGAUM,
1-Chikodi,4. Kagwad ,218560,33152,6230,BELGAUM,
1-Chikodi,5. Kudachi (SC),208796,35317,5112,BELGAUM,
1-Chikodi,6. Raybag (SC),218089,36549,1504,BELGAUM,
1-Chikodi,7. Hukkeri ,228725,35807,5580,BELGAUM,
1-Chikodi,10. Yemkanmardi (ST),219668,15802,55149,BELGAUM,
2-Belgaum,8. Arabhavi ,262653,28470,6733,BELGAUM,
2-Belgaum,9. Gokak ,263439,20063,44146,BELGAUM,
2-Belgaum,11. Belgaum Uttar,239494,18537,7683,BELGAUM,
2-Belgaum,12. Belgaum Dakshin,228941,12442,3699,BELGAUM,
2-Belgaum,13. Belgaum Rural,255946,17256,15929,BELGAUM,
2-Belgaum,16. Bailhongal,213924,16775,16751,BELGAUM,
2-Belgaum,17.Saundatti Yellamma ,224309,16588,23434,BELGAUM,
2-Belgaum,18. Ramdurg ,227412,31405,7691,BELGAUM,
3-Bagalkot ,19. Mudhol (SC),215353,37764,9761,BAGALKOT,
3-Bagalkot ,20. Terdal,239708,38139,1951,BAGALKOT,
3-Bagalkot ,21. Jamkhandi,228554,33938,3026,BAGALKOT,
3-Bagalkot ,22. Bilgi,245036,40415,25087,BAGALKOT,
3-Bagalkot ,23. Badami,246606,28404,21024,BAGALKOT,
3-Bagalkot ,24. Bagalkot ,235896,35137,11476,BAGALKOT,
3-Bagalkot ,25. Hungund ,240739,36807,7856,BAGALKOT,
3-Bagalkot ,68. Nargund,219559,22452,11954,GADAG,-0.85
4-Bijapur (SC),26. Muddebihal,224185,39346,6326,BIJAPUR,
4-Bijapur (SC),27. Devar Hippargi ,219003,43890,5428,BIJAPUR,
4-Bijapur (SC),28. Basavana Bagevadi ,224217,43063,3460,BIJAPUR,
4-Bijapur (SC),29. Babaleshwar,204748,43940,2813,BIJAPUR,
4-Bijapur (SC),30. Bijapur City,222381,27036,1881,BIJAPUR,
4-Bijapur (SC),31. Nagthan (SC),242411,52941,2295,BIJAPUR,
4-Bijapur (SC),32. Indi,239776,47885,4639,BIJAPUR,
4-Bijapur (SC),33. Sindgi ,230197,36153,3209,BIJAPUR,
5-Gulbarga (SC),34. Afzalpur,229899,40907,4031,GULBARGA,
5-Gulbarga (SC),35. Jevargi ,235254,46806,11221,GULBARGA,
5-Gulbarga (SC),39.Gurmitkal,230027,52400,12743,GULBARGA,
5-Gulbarga (SC),40. Chittapur (SC),245900,70278,4562,GULBARGA,
5-Gulbarga (SC),41. Sedam ,243998,61052,6142,GULBARGA,
5-Gulbarga (SC),43. Gulbarga Rural (SC),278340,90808,5816,GULBARGA,
5-Gulbarga (SC),44. Gulbarga Dakshin,239250,59835,3336,GULBARGA,
5-Gulbarga (SC),45. Gulbarga Uttar,238334,16845,2189,GULBARGA,
6-Raichur (ST) ,36. Shorapur (ST),273984,49186,52770,GULBARGA,
6-Raichur (ST) ,37. Shahapur ,223247,47244,19750,GULBARGA,
6-Raichur (ST) ,38. Yadgir  ,228922,51728,21797,GULBARGA,
6-Raichur (ST) ,53. Raichur Rural (ST),242987,47954,48985,RAICHUR,
6-Raichur (ST) ,54. Raichur ,226404,42087,12933,RAICHUR,
6-Raichur (ST) ,55. Manvi (ST),252188,45541,57329,RAICHUR,
6-Raichur (ST) ,56. Devadurga (ST),222457,44349,74910,RAICHUR,
6-Raichur (ST) ,57. Lingsugur (SC),247104,49480,38852,RAICHUR,
7-Bidar ,42. Chincholi (SC),225294,79324,4687,GULBARGA,
7-Bidar ,46. Aland ,238563,51263,5151,GULBARGA,
7-Bidar ,47. Basavakalyan ,252353,47908,38709,BIDAR,
